,年,週,年齡別,縣市,腸病毒急診就診人次
475,2007,27,0,彰化縣,5
476,2007,28,0,新竹市,1
477,2007,29,7-15,花蓮縣,3
478,2007,29,7-15,新竹縣,1
479,2007,30,0,雲林縣,1
480,2007,31,1-3,南投縣,11
481,2007,1,4-6,台南市,1
482,2007,2,1-3,苗栗縣,1
483,2007,3,4-6,台北市,2
484,2007,4,4-6,新竹市,1
485,2007,7,7-15,台北市,1
486,2007,8,1-3,台南市,7
487,2007,8,1-3,屏東縣,1
488,2007,9,1-3,新竹縣,1
489,2007,10,0,台北市,1
490,2007,10,1-3,彰化縣,3
491,2007,16,0,澎湖縣,1
492,2007,17,0,台中市,1
493,2007,17,0,彰化縣,2
494,2007,19,1-3,新竹市,3
495,2007,20,0,澎湖縣,3
496,2007,22,0,嘉義縣,1
497,2007,23,1-3,苗栗縣,1
498,2007,23,1-3,嘉義縣,9
499,2007,24,4-6,宜蘭縣,1
500,2007,24,4-6,雲林縣,1
501,2007,25,16+,苗栗縣,2
502,2007,25,1-3,南投縣,19
503,2007,27,4-6,台中市,17
504,2007,1,1-3,台中市,17
505,2007,1,0,新竹市,3
506,2007,4,1-3,雲林縣,1
507,2007,4,1-3,新竹市,8
508,2007,5,1-3,高雄市,1
509,2007,6,16+,台中市,1
510,2007,7,1-3,台南市,4
511,2007,7,1-3,桃園市,8
512,2007,8,1-3,宜蘭縣,2
513,2007,10,1-3,新北市,1
514,2007,13,4-6,新北市,2
515,2007,13,4-6,新竹縣,1
516,2007,13,0,台中市,1
517,2007,14,1-3,台中市,2
518,2007,14,7-15,彰化縣,1
519,2007,15,1-3,台中市,7
520,2007,16,0,南投縣,1
521,2007,19,16+,屏東縣,1
522,2007,19,1-3,花蓮縣,4
523,2007,19,0,新北市,1
524,2007,21,0,台中市,3
525,2007,23,4-6,台中市,7
526,2007,24,1-3,彰化縣,52
527,2007,1,0,高雄市,1
528,2007,1,7-15,彰化縣,2
529,2007,4,1-3,高雄市,5
530,2007,5,1-3,新竹市,4
531,2007,7,1-3,台北市,11
532,2007,7,4-6,台北市,3
533,2007,8,1-3,苗栗縣,2
534,2007,16,0,新北市,1
535,2007,17,1-3,花蓮縣,4
536,2007,17,7-15,新北市,1
537,2007,18,16+,高雄市,1
538,2007,19,7-15,高雄市,1
539,2007,22,1-3,台南市,22
540,2007,22,0,台北市,7
541,2007,22,0,台東縣,4
542,2007,23,0,屏東縣,5
543,2007,23,0,彰化縣,13
544,2007,24,4-6,屏東縣,1
545,2007,24,4-6,嘉義市,1
546,2007,24,4-6,彰化縣,10
547,2007,24,0,宜蘭縣,1
548,2007,25,4-6,屏東縣,3
549,2007,25,4-6,嘉義市,1
550,2007,3,4-6,新北市,2
551,2007,3,4-6,新竹縣,1
552,2007,3,0,台中市,1
553,2007,5,4-6,嘉義縣,1
554,2007,6,7-15,新北市,1
555,2007,7,4-6,苗栗縣,1
556,2007,10,4-6,新北市,1
