日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/06,松山,NO,2.6,1.4,0.4,1.4,1.9,1.9,4.3,26,62,64,78,110,52,52,51,15,11,5.8,7.2,6.2,5.3,5.9,4,2.4
2012/01/06,松山,NO2,23,20,17,14,13,13,23,35,39,42,46,53,56,59,55,38,35,29,29,28,29,28,24,19
2012/01/06,松山,NOx,26,21,18,16,15,15,27,61,101,106,124,163,108,111,106,53,46,35,37,34,34,34,28,22
2012/01/06,松山,O3,11,14,16,20,20,20,13,4.2,3.9,3.2,3.1,3.4,4.7,4,3,8.3,9.8,14,14,15,14,15,19,22
2012/01/06,松山,PM10,18,13,16,12,2,5,5,12,32,22,14,39,49,35,22,13,9,14,15,16,20,18,13,5
2012/01/06,松山,PM2.5,9,10,8,13,14,20,13,8,13,17,21,23,32,39,34*,26,23,16,12,7,10,7,7,9
2012/01/06,松山,RAINFALL,1.4,1.6,2,0.6,1.6,2.6,1,0.8,1.8,1.4,0.6,1,1.2,0.6,2.4,2,0.8,0.8,0.6,0.4,0.4,1,1,0.8
2012/01/06,松山,RH,88,90,91,91,91,91,91,91,91,91,92,92,91,91,91,90,88,87,87,87,87,88,89,89
2012/01/06,松山,SO2,2.5,2.4,3.1,3.3,3.3,3.9,3.8,4,4.5,5.1,6.1,6.7,4.4,3.9,3.7,2.3,2,1.6,1.6,1.6,1.5,1.5,1.8,2.3
2012/01/06,松山,THC,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.4,2.7,2.7,2.8,3.1,3.1,3.1,3,2.4,2.3,2.2,2.2,2.1,2.1,2.1,2,2
2012/01/06,松山,WD_HR,92,89,88,91,94,90,98,69,77,31,0.4,286,284,278,99,70,69,68,69,71,72,84,77,83
2012/01/06,松山,WIND_DIREC,87,93,91,78,102,93,88,66,96,44,12,300,286,257,91,60,61,59,67,68,73,105,74,73
2012/01/06,松山,WIND_SPEED,1.7,2.1,1.6,1.3,1.4,2.4,1.1,0.7,0.6,0.7,0.6,1.1,1.6,0.7,1.1,1.9,1.8,2.1,1.7,2.4,1.7,1.7,2.1,1.8
2012/01/06,松山,WS_HR,1.6,1.5,1.4,1.4,1.2,1.4,0.9,0.3,0.4,0.4,0.3,0.8,1,0.7,0.4,1.5,1.3,1.5,1.6,1.7,1.7,1.5,2,1.8
2012/01/07,松山,AMB_TEMP,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,16,16,16,16,16,16,16,16
2012/01/07,松山,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2
2012/01/07,松山,CO,0.31,0.24,0.22,0.21,0.18,0.19,0.22,0.32,0.38,0.38,0.39,0.39,0.37,0.39,0.42,0.43,0.44,0.48,0.49,0.45,0.39,0.39,0.4,0.43
2012/01/07,松山,NMHC,0.09,0.05,0.04,0.03,0.03,0.04,0.05,0.09,0.12,0.13,0.15,0.17,0.12,0.13,0.15,0.17,0.18,0.19,0.16,0.14,0.1,0.1,0.09,0.11
2012/01/07,松山,NO,1.5,0.7,0.9,2.1,1.2,1,1.7,3.1,5.4,7.6,7.7,8,6.1,7.1,6.6,6.4,5.1,4.2,5.9,4,3.4,3.7,3,2.3
2012/01/07,松山,NO2,13,7.2,6.3,3.6,3.6,5.4,11,17,21,23,21,21,14,18,22,25,24,26,26,24,21,21,19,19
2012/01/07,松山,NOx,14,7.9,7.2,5.7,4.9,6.4,13,20,27,30,28,29,21,25,29,31,29,31,32,28,25,24,21,21
2012/01/07,松山,O3,28,35,36,37,37,35,30,24,20,20,23,22,30,26,21,18,18,16,16,19,20,22,25,23
2012/01/07,松山,PM10,0*,0*,1,1,1,2,1,0*,9,14,11,16,25,23,7,6,17,15,16,31,25,6,6,23
2012/01/07,松山,PM2.5,12,8,9,6,13,7,11,9,9,12,14,20,13,15,12,16,14,19,21,20,19,17,23,23
2012/01/07,松山,RAINFALL,0.2,0.6,0.2,0.2,NR,NR,0.2,0.2,NR,0.2,NR,NR,NR,NR,NR,NR,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2
2012/01/07,松山,RH,90,89,89,89,88,87,87,88,88,88,87,86,84,84,84,86,87,88,88,89,89,89,89,89
2012/01/07,松山,SO2,2.5,1.4,1.5,1.2,1.1,1.6,3.4,4.1,3.2,3.4,2.8,3.8,3,4,3.2,2.1,1.7,1.8,2.2,3.3,3.9,3.7,3.9,3.8
2012/01/07,松山,THC,2,2,2,2,1.9,2,1.9,2,2,2,2,2.1,2,2,2,2.1,2.1,2.1,2.1,2.1,2,2,2,2.1
2012/01/07,松山,WD_HR,82,80,79,72,74,76,76,80,82,77,83,80,75,75,78,77,79,73,75,82,77,74,76,91
2012/01/07,松山,WIND_DIREC,76,81,80,65,73,73,77,73,84,85,81,73,75,65,77,69,75,75,74,76,75,70,78,87
2012/01/07,松山,WIND_SPEED,2.2,1.3,2.1,2.4,2.6,2.6,2.2,1.9,2.2,2,2.2,2.4,2.5,2.7,2.3,2.3,2.1,1.9,2,2.1,1.8,2.1,1.8,1.5
2012/01/07,松山,WS_HR,1.7,1.7,1.7,2.1,2.5,2.3,2.3,2,2.1,2.3,2.1,2.1,2.5,2.3,2,1.9,1.7,1.8,1.8,1.7,1.9,2,2.2,1.2
2012/01/08,松山,AMB_TEMP,16,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,18,18,18,18,18,18,17,17
2012/01/08,松山,CH4,1.9,1.9,2,2,2,1.9,2,2.2,2.2,2.2,2.2,2.2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2012/01/08,松山,CO,0.38,0.35,0.32,0.29,0.3,0.32,0.38,0.86,1,1.08,1.47,0.77,0.38,0.32,0.3,0.38,0.49,0.47,0.53,0.51,0.52,0.49,0.47,0.38
2012/01/08,松山,NMHC,0.09,0.1,0.06,0.07,0.06,0.07,0.11,0.31,0.4,0.41,0.58,0.32,0.12,0.08,0.06,0.1,0.14,0.14,0.15,0.15,0.14,0.13,0.11,0.09
2012/01/08,松山,NO,1.6,1.3,1.2,0,0.4,0.5,1.1,21,27,76,119,17,5,3.8,2.9,3.9,4.6,3.1,4,3.2,3,2.5,1.9,1.6
2012/01/08,松山,NO2,13,11,8.9,8.6,7.1,7.6,14,37,40,49,51,36,20,13,12,20,29,24,28,26,26,24,21,16
2012/01/08,松山,NOx,14,12,10,8.7,7.5,8.1,15,58,67,125,170,53,25,17,15,24,33,28,32,29,29,27,23,18
